,Year,Trade.Flow,Reporter,Reporter.Code,CONCAT_1,GDP Country 1,Partner,Partner.Code,CONCAT_2,GDP Country 2,Trade.Value..US..,concat,Year in Force ,FTA Dummy ,Bucket ,Panel Number
1,1989,Export,Canada,124,1989_Canada,5.65056E+11,Chile,152,1989_Chile,29885690000,96189898,124152,1997,0,1,1
2,1990,Export,Canada,124,1990_Canada,5.9393E+11,Chile,152,1990_Chile,33113890000,168584761,124152,1997,0,1,1
3,1991,Export,Canada,124,1991_Canada,6.10328E+11,Chile,152,1991_Chile,37834790000,130740561,124152,1997,0,1,1
4,1992,Export,Canada,124,1992_Canada,5.92388E+11,Chile,152,1992_Chile,45964330000,128209248,124152,1997,0,1,1
5,1993,Export,Canada,124,1993_Canada,5.77171E+11,Chile,152,1993_Chile,49297770000,163965555,124152,1997,0,1,1
6,1994,Export,Canada,124,1994_Canada,5.78139E+11,Chile,152,1994_Chile,57008430000,229064755,124152,1997,0,1,1
7,1995,Export,Canada,124,1995_Canada,6.04032E+11,Chile,152,1995_Chile,73447060000,282428759,124152,1997,0,1,1
8,1996,Export,Canada,124,1996_Canada,6.28546E+11,Chile,152,1996_Chile,78039570000,304792894,124152,1997,0,1,1
9,1997,Export,Canada,124,1997_Canada,6.52825E+11,Chile,152,1997_Chile,84952360000,283396985,124152,1997,1,1,1
10,1998,Export,Canada,124,1998_Canada,6.31813E+11,Chile,152,1998_Chile,81577430000,227432800,124152,1997,1,1,1
11,1999,Export,Canada,124,1999_Canada,6.76083E+11,Chile,152,1999_Chile,75173790000,242725919,124152,1997,1,1,1
12,2000,Export,Canada,124,2000_Canada,7.42293E+11,Chile,152,2000_Chile,77860930000,298540636,124152,1997,1,1,1
13,2001,Export,Canada,124,2001_Canada,7.3638E+11,Chile,152,2001_Chile,70979920000,238464749,124152,1997,1,1,1
14,2002,Export,Canada,124,2002_Canada,7.57951E+11,Chile,152,2002_Chile,69736810000,180163739,124152,1997,1,1,1
15,2003,Export,Canada,124,2003_Canada,8.92381E+11,Chile,152,2003_Chile,75643460000,231526083,124152,1997,1,1,1
16,2004,Export,Canada,124,2004_Canada,1.0232E+12,Chile,152,2004_Chile,99210390000,276670595,124152,1997,1,1,1
17,2005,Export,Canada,124,2005_Canada,1.16936E+12,Chile,152,2005_Chile,1.22965E+11,344905705,124152,1997,1,1,1
18,2006,Export,Canada,124,2006_Canada,1.31542E+12,Chile,152,2006_Chile,1.54788E+11,417010795,124152,1997,1,1,1
19,2007,Export,Canada,124,2007_Canada,1.46498E+12,Chile,152,2007_Chile,1.73606E+11,702068491,124152,1997,1,1,1
20,2008,Export,Canada,124,2008_Canada,1.54913E+12,Chile,152,2008_Chile,1.79638E+11,683351770,124152,1997,1,1,1
21,2009,Export,Canada,124,2009_Canada,1.37115E+12,Chile,152,2009_Chile,1.72389E+11,566304578,124152,1997,1,1,1
22,2010,Export,Canada,124,2010_Canada,1.61346E+12,Chile,152,2010_Chile,2.18538E+11,570636887,124152,1997,1,1,1
23,2011,Export,Canada,124,2011_Canada,1.78865E+12,Chile,152,2011_Chile,2.52252E+11,826886837,124152,1997,1,1,1
24,2012,Export,Canada,124,2012_Canada,1.82429E+12,Chile,152,2012_Chile,2.67122E+11,790086724,124152,1997,1,1,1
25,2013,Export,Canada,124,2013_Canada,1.84263E+12,Chile,152,2013_Chile,2.78384E+11,776635965,124152,1997,1,1,1
26,2014,Export,Canada,124,2014_Canada,1.79927E+12,Chile,152,2014_Chile,2.60584E+11,1027126536,124152,1997,1,1,1
27,2015,Export,Canada,124,2015_Canada,1.55962E+12,Chile,152,2015_Chile,2.43999E+11,618277413,124152,1997,1,1,1
28,2016,Export,Canada,124,2016_Canada,1.53577E+12,Chile,152,2016_Chile,2.50036E+11,547609203,124152,1997,1,1,1
29,2017,Export,Canada,124,2017_Canada,1.65304E+12,Chile,152,2017_Chile,2.77076E+11,681991364,124152,1997,1,1,1
30,1989,Export,Canada,124,1989_Canada,5.65056E+11,Colombia,170,1989_Colombia,39540080000,169740290,124170,2011,0,2,2
31,1990,Export,Canada,124,1990_Canada,5.9393E+11,Colombia,170,1990_Colombia,40274200000,180729192,124170,2011,0,2,2
32,1991,Export,Canada,124,1991_Canada,6.10328E+11,Colombia,170,1991_Colombia,41239550000,133785645,124170,2011,0,2,2
33,1992,Export,Canada,124,1992_Canada,5.92388E+11,Colombia,170,1992_Colombia,49279590000,198071136,124170,2011,0,2,2
34,1993,Export,Canada,124,1993_Canada,5.77171E+11,Colombia,170,1993_Colombia,55802540000,186960261,124170,2011,0,2,2
35,1994,Export,Canada,124,1994_Canada,5.78139E+11,Colombia,170,1994_Colombia,81703500000,331918925,124170,2011,0,2,2
36,1995,Export,Canada,124,1995_Canada,6.04032E+11,Colombia,170,1995_Colombia,92507280000,286216379,124170,2011,0,2,2
37,1996,Export,Canada,124,1996_Canada,6.28546E+11,Colombia,170,1996_Colombia,97160110000,375924666,124170,2011,0,2,2
38,1997,Export,Canada,124,1997_Canada,6.52825E+11,Colombia,170,1997_Colombia,1.0666E+11,341511145,124170,2011,0,2,2
39,1998,Export,Canada,124,1998_Canada,6.31813E+11,Colombia,170,1998_Colombia,98443740000,317369536,124170,2011,0,2,2
40,1999,Export,Canada,124,1999_Canada,6.76083E+11,Colombia,170,1999_Colombia,86186160000,171631175,124170,2011,0,2,2
41,2000,Export,Canada,124,2000_Canada,7.42293E+11,Colombia,170,2000_Colombia,99886580000,206918461,124170,2011,0,2,2
42,2001,Export,Canada,124,2001_Canada,7.3638E+11,Colombia,170,2001_Colombia,98203550000,236385174,124170,2011,0,2,2
43,2002,Export,Canada,124,2002_Canada,7.57951E+11,Colombia,170,2002_Colombia,97933390000,218922480,124170,2011,0,2,2
44,2003,Export,Canada,124,2003_Canada,8.92381E+11,Colombia,170,2003_Colombia,94684580000,219794297,124170,2011,0,2,2
45,2004,Export,Canada,124,2004_Canada,1.0232E+12,Colombia,170,2004_Colombia,1.17075E+11,297857519,124170,2011,0,2,2
46,2005,Export,Canada,124,2005_Canada,1.16936E+12,Colombia,170,2005_Colombia,1.46566E+11,370426019,124170,2011,0,2,2
47,2006,Export,Canada,124,2006_Canada,1.31542E+12,Colombia,170,2006_Colombia,1.6259E+11,452504110,124170,2011,0,2,2
48,2007,Export,Canada,124,2007_Canada,1.46498E+12,Colombia,170,2007_Colombia,2.07416E+11,617763833,124170,2011,0,2,2
49,2008,Export,Canada,124,2008_Canada,1.54913E+12,Colombia,170,2008_Colombia,2.43982E+11,669152092,124170,2011,0,2,2
50,2009,Export,Canada,124,2009_Canada,1.37115E+12,Colombia,170,2009_Colombia,2.33822E+11,520148328,124170,2011,0,2,2
51,2010,Export,Canada,124,2010_Canada,1.61346E+12,Colombia,170,2010_Colombia,2.87018E+11,623934694,124170,2011,0,2,2
52,2011,Export,Canada,124,2011_Canada,1.78865E+12,Colombia,170,2011_Colombia,3.35415E+11,768400289,124170,2011,1,2,2
53,2012,Export,Canada,124,2012_Canada,1.82429E+12,Colombia,170,2012_Colombia,3.6966E+11,828928073,124170,2011,1,2,2
54,2013,Export,Canada,124,2013_Canada,1.84263E+12,Colombia,170,2013_Colombia,3.80192E+11,690926373,124170,2011,1,2,2
55,2014,Export,Canada,124,2014_Canada,1.79927E+12,Colombia,170,2014_Colombia,3.78196E+11,846206745,124170,2011,1,2,2
56,2015,Export,Canada,124,2015_Canada,1.55962E+12,Colombia,170,2015_Colombia,2.9152E+11,612600153,124170,2011,1,2,2
57,2016,Export,Canada,124,2016_Canada,1.53577E+12,Colombia,170,2016_Colombia,2.80091E+11,591671081,124170,2011,1,2,2
58,2017,Export,Canada,124,2017_Canada,1.65304E+12,Colombia,170,2017_Colombia,3.09191E+11,574784947,124170,2011,1,2,2
59,1989,Export,Canada,124,1989_Canada,5.65056E+11,Costa Rica,188,1989_Costa Rica,6866402000,20224519,124188,2002,0,3,3
60,1990,Export,Canada,124,1990_Canada,5.9393E+11,Costa Rica,188,1990_Costa Rica,7403457000,23786556,124188,2002,0,3,3
61,1991,Export,Canada,124,1991_Canada,6.10328E+11,Costa Rica,188,1991_Costa Rica,7168999000,19010262,124188,2002,0,3,3
62,1992,Export,Canada,124,1992_Canada,5.92388E+11,Costa Rica,188,1992_Costa Rica,8528593000,20810972,124188,2002,0,3,3
63,1993,Export,Canada,124,1993_Canada,5.77171E+11,Costa Rica,188,1993_Costa Rica,9537298000,25919215,124188,2002,0,3,3
64,1994,Export,Canada,124,1994_Canada,5.78139E+11,Costa Rica,188,1994_Costa Rica,10432620000,26438858,124188,2002,0,3,3
65,1995,Export,Canada,124,1995_Canada,6.04032E+11,Costa Rica,188,1995_Costa Rica,11513470000,33640854,124188,2002,0,3,3
66,1996,Export,Canada,124,1996_Canada,6.28546E+11,Costa Rica,188,1996_Costa Rica,11618290000,37109952,124188,2002,0,3,3
67,1997,Export,Canada,124,1997_Canada,6.52825E+11,Costa Rica,188,1997_Costa Rica,12552070000,53329597,124188,2002,0,3,3
68,1998,Export,Canada,124,1998_Canada,6.31813E+11,Costa Rica,188,1998_Costa Rica,13617410000,32553682,124188,2002,0,3,3
69,1999,Export,Canada,124,1999_Canada,6.76083E+11,Costa Rica,188,1999_Costa Rica,14195620000,46284011,124188,2002,0,3,3
70,2000,Export,Canada,124,2000_Canada,7.42293E+11,Costa Rica,188,2000_Costa Rica,14949510000,58018498,124188,2002,0,3,3
71,2001,Export,Canada,124,2001_Canada,7.3638E+11,Costa Rica,188,2001_Costa Rica,15913360000,40621240,124188,2002,0,3,3
72,2002,Export,Canada,124,2002_Canada,7.57951E+11,Costa Rica,188,2002_Costa Rica,16504800000,49048213,124188,2002,1,3,3
73,2003,Export,Canada,124,2003_Canada,8.92381E+11,Costa Rica,188,2003_Costa Rica,17195870000,50556193,124188,2002,1,3,3
74,2004,Export,Canada,124,2004_Canada,1.0232E+12,Costa Rica,188,2004_Costa Rica,18529770000,58950836,124188,2002,1,3,3
75,2005,Export,Canada,124,2005_Canada,1.16936E+12,Costa Rica,188,2005_Costa Rica,19952160000,70272788,124188,2002,1,3,3
76,2006,Export,Canada,124,2006_Canada,1.31542E+12,Costa Rica,188,2006_Costa Rica,22600430000,60831789,124188,2002,1,3,3
77,2007,Export,Canada,124,2007_Canada,1.46498E+12,Costa Rica,188,2007_Costa Rica,26743870000,76094147,124188,2002,1,3,3
78,2008,Export,Canada,124,2008_Canada,1.54913E+12,Costa Rica,188,2008_Costa Rica,30612930000,101546522,124188,2002,1,3,3
79,2009,Export,Canada,124,2009_Canada,1.37115E+12,Costa Rica,188,2009_Costa Rica,30562360000,70205047,124188,2002,1,3,3
80,2010,Export,Canada,124,2010_Canada,1.61346E+12,Costa Rica,188,2010_Costa Rica,37268640000,97076882,124188,2002,1,3,3
81,2011,Export,Canada,124,2011_Canada,1.78865E+12,Costa Rica,188,2011_Costa Rica,42262700000,162342973,124188,2002,1,3,3
82,2012,Export,Canada,124,2012_Canada,1.82429E+12,Costa Rica,188,2012_Costa Rica,46473130000,185633136,124188,2002,1,3,3
83,2013,Export,Canada,124,2013_Canada,1.84263E+12,Costa Rica,188,2013_Costa Rica,49745090000,111309097,124188,2002,1,3,3
84,2014,Export,Canada,124,2014_Canada,1.79927E+12,Costa Rica,188,2014_Costa Rica,50577770000,137508197,124188,2002,1,3,3
85,2015,Export,Canada,124,2015_Canada,1.55962E+12,Costa Rica,188,2015_Costa Rica,54775970000,127327161,124188,2002,1,3,3
86,2016,Export,Canada,124,2016_Canada,1.53577E+12,Costa Rica,188,2016_Costa Rica,56988990000,108981967,124188,2002,1,3,3
87,2017,Export,Canada,124,2017_Canada,1.65304E+12,Costa Rica,188,2017_Costa Rica,57057370000,122630897,124188,2002,1,3,3
88,1989,Export,Canada,124,1989_Canada,5.65056E+11,Honduras,340,1989_Honduras,3563448000,12391731,124340,2014,0,4,4
89,1990,Export,Canada,124,1990_Canada,5.9393E+11,Honduras,340,1990_Honduras,3048881000,9013132,124340,2014,0,4,4
90,1991,Export,Canada,124,1991_Canada,6.10328E+11,Honduras,340,1991_Honduras,3068445000,4687653,124340,2014,0,4,4
91,1992,Export,Canada,124,1992_Canada,5.92388E+11,Honduras,340,1992_Honduras,3419487000,10587141,124340,2014,0,4,4
92,1993,Export,Canada,124,1993_Canada,5.77171E+11,Honduras,340,1993_Honduras,3481991000,12298664,124340,2014,0,4,4
93,1994,Export,Canada,124,1994_Canada,5.78139E+11,Honduras,340,1994_Honduras,3432357000,10663427,124340,2014,0,4,4
94,1995,Export,Canada,124,1995_Canada,6.04032E+11,Honduras,340,1995_Honduras,3911053000,14736368,124340,2014,0,4,4
95,1996,Export,Canada,124,1996_Canada,6.28546E+11,Honduras,340,1996_Honduras,4034037000,12095366,124340,2014,0,4,4
96,1997,Export,Canada,124,1997_Canada,6.52825E+11,Honduras,340,1997_Honduras,4663194000,11974509,124340,2014,0,4,4
97,1998,Export,Canada,124,1998_Canada,6.31813E+11,Honduras,340,1998_Honduras,5202216000,12647955,124340,2014,0,4,4
98,1999,Export,Canada,124,1999_Canada,6.76083E+11,Honduras,340,1999_Honduras,5372544000,13132320,124340,2014,0,4,4
99,2000,Export,Canada,124,2000_Canada,7.42293E+11,Honduras,340,2000_Honduras,7103508000,10340293,124340,2014,0,4,4
100,2001,Export,Canada,124,2001_Canada,7.3638E+11,Honduras,340,2001_Honduras,7565870000,9847053,124340,2014,0,4,4
101,2002,Export,Canada,124,2002_Canada,7.57951E+11,Honduras,340,2002_Honduras,7775078000,10572087,124340,2014,0,4,4
102,2003,Export,Canada,124,2003_Canada,8.92381E+11,Honduras,340,2003_Honduras,8140271000,22823581,124340,2014,0,4,4
103,2004,Export,Canada,124,2004_Canada,1.0232E+12,Honduras,340,2004_Honduras,8772194000,19327546,124340,2014,0,4,4
104,2005,Export,Canada,124,2005_Canada,1.16936E+12,Honduras,340,2005_Honduras,9672036000,36667576,124340,2014,0,4,4
105,2006,Export,Canada,124,2006_Canada,1.31542E+12,Honduras,340,2006_Honduras,10841740000,32894606,124340,2014,0,4,4
106,2007,Export,Canada,124,2007_Canada,1.46498E+12,Honduras,340,2007_Honduras,12275500000,48267188,124340,2014,0,4,4
107,2008,Export,Canada,124,2008_Canada,1.54913E+12,Honduras,340,2008_Honduras,13789720000,81999137,124340,2014,0,4,4
108,2009,Export,Canada,124,2009_Canada,1.37115E+12,Honduras,340,2009_Honduras,14587500000,32050576,124340,2014,0,4,4
109,2010,Export,Canada,124,2010_Canada,1.61346E+12,Honduras,340,2010_Honduras,15839340000,39616423,124340,2014,0,4,4
110,2011,Export,Canada,124,2011_Canada,1.78865E+12,Honduras,340,2011_Honduras,17710320000,49661055,124340,2014,0,4,4
111,2012,Export,Canada,124,2012_Canada,1.82429E+12,Honduras,340,2012_Honduras,18528600000,38675929,124340,2014,0,4,4
112,2013,Export,Canada,124,2013_Canada,1.84263E+12,Honduras,340,2013_Honduras,18499710000,42454867,124340,2014,0,4,4
113,2014,Export,Canada,124,2014_Canada,1.79927E+12,Honduras,340,2014_Honduras,19756490000,40535190,124340,2014,1,4,4
114,2015,Export,Canada,124,2015_Canada,1.55962E+12,Honduras,340,2015_Honduras,20979770000,31303199,124340,2014,1,4,4
115,2016,Export,Canada,124,2016_Canada,1.53577E+12,Honduras,340,2016_Honduras,21643940000,28241287,124340,2014,1,4,4
116,2017,Export,Canada,124,2017_Canada,1.65304E+12,Honduras,340,2017_Honduras,22978530000,33191453,124340,2014,1,4,4
117,1989,Export,Canada,124,1989_Canada,5.65056E+11,Israel,376,1989_Israel,49881430000,111051379,124376,1997,0,5,5
118,1990,Export,Canada,124,1990_Canada,5.9393E+11,Israel,376,1990_Israel,58987000000,124062622,124376,1997,0,5,5
119,1991,Export,Canada,124,1991_Canada,6.10328E+11,Israel,376,1991_Israel,67530220000,120903596,124376,1997,0,5,5
120,1992,Export,Canada,124,1992_Canada,5.92388E+11,Israel,376,1992_Israel,75575900000,103871760,124376,1997,0,5,5
121,1993,Export,Canada,124,1993_Canada,5.77171E+11,Israel,376,1993_Israel,75954640000,120293807,124376,1997,0,5,5
122,1994,Export,Canada,124,1994_Canada,5.78139E+11,Israel,376,1994_Israel,86307140000,120093744,124376,1997,0,5,5
123,1995,Export,Canada,124,1995_Canada,6.04032E+11,Israel,376,1995_Israel,1.00343E+11,173047685,124376,1997,0,5,5
124,1996,Export,Canada,124,1996_Canada,6.28546E+11,Israel,376,1996_Israel,1.09957E+11,176192399,124376,1997,0,5,5
125,1997,Export,Canada,124,1997_Canada,6.52825E+11,Israel,376,1997_Israel,1.14725E+11,178910868,124376,1997,1,5,5
126,1998,Export,Canada,124,1998_Canada,6.31813E+11,Israel,376,1998_Israel,1.15979E+11,154501488,124376,1997,1,5,5
127,1999,Export,Canada,124,1999_Canada,6.76083E+11,Israel,376,1999_Israel,1.1719E+11,199069096,124376,1997,1,5,5
128,2000,Export,Canada,124,2000_Canada,7.42293E+11,Israel,376,2000_Israel,1.32339E+11,211774168,124376,1997,1,5,5
129,2001,Export,Canada,124,2001_Canada,7.3638E+11,Israel,376,2001_Israel,1.30706E+11,227013725,124376,1997,1,5,5
130,2002,Export,Canada,124,2002_Canada,7.57951E+11,Israel,376,2002_Israel,1.21069E+11,247542925,124376,1997,1,5,5
131,2003,Export,Canada,124,2003_Canada,8.92381E+11,Israel,376,2003_Israel,1.26865E+11,175959296,124376,1997,1,5,5
132,2004,Export,Canada,124,2004_Canada,1.0232E+12,Israel,376,2004_Israel,1.35445E+11,294343731,124376,1997,1,5,5
133,2005,Export,Canada,124,2005_Canada,1.16936E+12,Israel,376,2005_Israel,1.42463E+11,356412563,124376,1997,1,5,5
134,2006,Export,Canada,124,2006_Canada,1.31542E+12,Israel,376,2006_Israel,1.53967E+11,393103680,124376,1997,1,5,5
135,2007,Export,Canada,124,2007_Canada,1.46498E+12,Israel,376,2007_Israel,1.78707E+11,397944249,124376,1997,1,5,5
136,2008,Export,Canada,124,2008_Canada,1.54913E+12,Israel,376,2008_Israel,2.1584E+11,549566749,124376,1997,1,5,5
137,2009,Export,Canada,124,2009_Canada,1.37115E+12,Israel,376,2009_Israel,2.07419E+11,308070370,124376,1997,1,5,5
138,2010,Export,Canada,124,2010_Canada,1.61346E+12,Israel,376,2010_Israel,2.3361E+11,374513386,124376,1997,1,5,5
139,2011,Export,Canada,124,2011_Canada,1.78865E+12,Israel,376,2011_Israel,2.61629E+11,403768242,124376,1997,1,5,5
140,2012,Export,Canada,124,2012_Canada,1.82429E+12,Israel,376,2012_Israel,2.57297E+11,265874527,124376,1997,1,5,5
141,2013,Export,Canada,124,2013_Canada,1.84263E+12,Israel,376,2013_Israel,2.92489E+11,368806020,124376,1997,1,5,5
142,2014,Export,Canada,124,2014_Canada,1.79927E+12,Israel,376,2014_Israel,3.08417E+11,406711148,124376,1997,1,5,5
143,2015,Export,Canada,124,2015_Canada,1.55962E+12,Israel,376,2015_Israel,2.99094E+11,267905053,124376,1997,1,5,5
144,2016,Export,Canada,124,2016_Canada,1.53577E+12,Israel,376,2016_Israel,3.17748E+11,319377487,124376,1997,1,5,5
145,2017,Export,Canada,124,2017_Canada,1.65304E+12,Israel,376,2017_Israel,3.50851E+11,346908028,124376,1997,1,5,5
146,1989,Export,Canada,124,1989_Canada,5.65056E+11,Jordan,400,1989_Jordan,4220945000,5694123,124400,2012,0,6,6
147,1990,Export,Canada,124,1990_Canada,5.9393E+11,Jordan,400,1990_Jordan,4160004000,4865450,124400,2012,0,6,6
148,1991,Export,Canada,124,1991_Canada,6.10328E+11,Jordan,400,1991_Jordan,4344250000,17676460,124400,2012,0,6,6
149,1992,Export,Canada,124,1992_Canada,5.92388E+11,Jordan,400,1992_Jordan,5311329000,5175999,124400,2012,0,6,6
150,1993,Export,Canada,124,1993_Canada,5.77171E+11,Jordan,400,1993_Jordan,5605842000,7799772,124400,2012,0,6,6
151,1994,Export,Canada,124,1994_Canada,5.78139E+11,Jordan,400,1994_Jordan,6237740000,10269640,124400,2012,0,6,6
152,1995,Export,Canada,124,1995_Canada,6.04032E+11,Jordan,400,1995_Jordan,6727447000,9121564,124400,2012,0,6,6
153,1996,Export,Canada,124,1996_Canada,6.28546E+11,Jordan,400,1996_Jordan,6928359000,25756964,124400,2012,0,6,6
154,1997,Export,Canada,124,1997_Canada,6.52825E+11,Jordan,400,1997_Jordan,7246189000,10634148,124400,2012,0,6,6
155,1998,Export,Canada,124,1998_Canada,6.31813E+11,Jordan,400,1998_Jordan,7912327000,14797231,124400,2012,0,6,6
156,1999,Export,Canada,124,1999_Canada,6.76083E+11,Jordan,400,1999_Jordan,8149106000,13345517,124400,2012,0,6,6
157,2000,Export,Canada,124,2000_Canada,7.42293E+11,Jordan,400,2000_Jordan,8460424000,15012879,124400,2012,0,6,6
158,2001,Export,Canada,124,2001_Canada,7.3638E+11,Jordan,400,2001_Jordan,8975690000,21733253,124400,2012,0,6,6
159,2002,Export,Canada,124,2002_Canada,7.57951E+11,Jordan,400,2002_Jordan,9582453000,20178836,124400,2012,0,6,6
160,2003,Export,Canada,124,2003_Canada,8.92381E+11,Jordan,400,2003_Jordan,10195660000,22004728,124400,2012,0,6,6
161,2004,Export,Canada,124,2004_Canada,1.0232E+12,Jordan,400,2004_Jordan,11411390000,32446017,124400,2012,0,6,6
162,2005,Export,Canada,124,2005_Canada,1.16936E+12,Jordan,400,2005_Jordan,12588670000,101223841,124400,2012,0,6,6
163,2006,Export,Canada,124,2006_Canada,1.31542E+12,Jordan,400,2006_Jordan,15056930000,49634429,124400,2012,0,6,6
164,2007,Export,Canada,124,2007_Canada,1.46498E+12,Jordan,400,2007_Jordan,17110590000,58815973,124400,2012,0,6,6
165,2008,Export,Canada,124,2008_Canada,1.54913E+12,Jordan,400,2008_Jordan,21972000000,72600189,124400,2012,0,6,6
166,2009,Export,Canada,124,2009_Canada,1.37115E+12,Jordan,400,2009_Jordan,23820230000,57870247,124400,2012,0,6,6
167,2010,Export,Canada,124,2010_Canada,1.61346E+12,Jordan,400,2010_Jordan,26425380000,64152477,124400,2012,0,6,6
168,2011,Export,Canada,124,2011_Canada,1.78865E+12,Jordan,400,2011_Jordan,28840260000,70838317,124400,2012,0,6,6
169,2012,Export,Canada,124,2012_Canada,1.82429E+12,Jordan,400,2012_Jordan,30937280000,115011928,124400,2012,1,6,6
170,2013,Export,Canada,124,2013_Canada,1.84263E+12,Jordan,400,2013_Jordan,33593840000,63881964,124400,2012,1,6,6
171,2014,Export,Canada,124,2014_Canada,1.79927E+12,Jordan,400,2014_Jordan,35826930000,71051151,124400,2012,1,6,6
172,2015,Export,Canada,124,2015_Canada,1.55962E+12,Jordan,400,2015_Jordan,37517410000,70199166,124400,2012,1,6,6
173,2016,Export,Canada,124,2016_Canada,1.53577E+12,Jordan,400,2016_Jordan,38654730000,61569810,124400,2012,1,6,6
174,2017,Export,Canada,124,2017_Canada,1.65304E+12,Jordan,400,2017_Jordan,40068310000,56735676,124400,2012,1,6,6
175,1989,Export,Canada,124,1989_Canada,5.65056E+11,Rep. of Korea,410,1989_Rep. of Korea,2.43526E+11,1353760379,124410,2015,0,7,7
176,1990,Export,Canada,124,1990_Canada,5.9393E+11,Rep. of Korea,410,1990_Rep. of Korea,2.79349E+11,1339916702,124410,2015,0,7,7
177,1991,Export,Canada,124,1991_Canada,6.10328E+11,Rep. of Korea,410,1991_Rep. of Korea,3.25734E+11,1648685745,124410,2015,0,7,7
178,1992,Export,Canada,124,1992_Canada,5.92388E+11,Rep. of Korea,410,1992_Rep. of Korea,3.50051E+11,1177944320,124410,2015,0,7,7
179,1993,Export,Canada,124,1993_Canada,5.77171E+11,Rep. of Korea,410,1993_Rep. of Korea,3.86303E+11,1329068986,124410,2015,0,7,7
180,1994,Export,Canada,124,1994_Canada,5.78139E+11,Rep. of Korea,410,1994_Rep. of Korea,4.55603E+11,1608225029,124410,2015,0,7,7
181,1995,Export,Canada,124,1995_Canada,6.04032E+11,Rep. of Korea,410,1995_Rep. of Korea,5.56131E+11,1994449963,124410,2015,0,7,7
182,1996,Export,Canada,124,1996_Canada,6.28546E+11,Rep. of Korea,410,1996_Rep. of Korea,5.98099E+11,2066295361,124410,2015,0,7,7
183,1997,Export,Canada,124,1997_Canada,6.52825E+11,Rep. of Korea,410,1997_Rep. of Korea,5.57503E+11,2191393330,124410,2015,0,7,7
184,1998,Export,Canada,124,1998_Canada,6.31813E+11,Rep. of Korea,410,1998_Rep. of Korea,3.74241E+11,1224570368,124410,2015,0,7,7
185,1999,Export,Canada,124,1999_Canada,6.76083E+11,Rep. of Korea,410,1999_Rep. of Korea,4.85248E+11,1336100814,124410,2015,0,7,7
186,2000,Export,Canada,124,2000_Canada,7.42293E+11,Rep. of Korea,410,2000_Rep. of Korea,5.61633E+11,1520883768,124410,2015,0,7,7
187,2001,Export,Canada,124,2001_Canada,7.3638E+11,Rep. of Korea,410,2001_Rep. of Korea,5.33052E+11,1303314946,124410,2015,0,7,7
188,2002,Export,Canada,124,2002_Canada,7.57951E+11,Rep. of Korea,410,2002_Rep. of Korea,6.0902E+11,1285401007,124410,2015,0,7,7
189,2003,Export,Canada,124,2003_Canada,8.92381E+11,Rep. of Korea,410,2003_Rep. of Korea,6.80521E+11,1428879639,124410,2015,0,7,7
190,2004,Export,Canada,124,2004_Canada,1.0232E+12,Rep. of Korea,410,2004_Rep. of Korea,7.64881E+11,1747246691,124410,2015,0,7,7
191,2005,Export,Canada,124,2005_Canada,1.16936E+12,Rep. of Korea,410,2005_Rep. of Korea,8.98137E+11,2334217289,124410,2015,0,7,7
192,2006,Export,Canada,124,2006_Canada,1.31542E+12,Rep. of Korea,410,2006_Rep. of Korea,1.0118E+12,2897433501,124410,2015,0,7,7
193,2007,Export,Canada,124,2007_Canada,1.46498E+12,Rep. of Korea,410,2007_Rep. of Korea,1.12268E+12,2805791650,124410,2015,0,7,7
194,2008,Export,Canada,124,2008_Canada,1.54913E+12,Rep. of Korea,410,2008_Rep. of Korea,1.00222E+12,3622188364,124410,2015,0,7,7
195,2009,Export,Canada,124,2009_Canada,1.37115E+12,Rep. of Korea,410,2009_Rep. of Korea,9.01935E+11,3100333914,124410,2015,0,7,7
196,2010,Export,Canada,124,2010_Canada,1.61346E+12,Rep. of Korea,410,2010_Rep. of Korea,1.0945E+12,3603394195,124410,2015,0,7,7
197,2011,Export,Canada,124,2011_Canada,1.78865E+12,Rep. of Korea,410,2011_Rep. of Korea,1.20246E+12,5148677200,124410,2015,0,7,7
198,2012,Export,Canada,124,2012_Canada,1.82429E+12,Rep. of Korea,410,2012_Rep. of Korea,1.22281E+12,3717990343,124410,2015,0,7,7
199,2013,Export,Canada,124,2013_Canada,1.84263E+12,Rep. of Korea,410,2013_Rep. of Korea,1.3056E+12,3399372945,124410,2015,0,7,7
200,2014,Export,Canada,124,2014_Canada,1.79927E+12,Rep. of Korea,410,2014_Rep. of Korea,1.41133E+12,3776821039,124410,2015,0,7,7
201,2015,Export,Canada,124,2015_Canada,1.55962E+12,Rep. of Korea,410,2015_Rep. of Korea,1.38276E+12,3145366711,124410,2015,1,7,7
202,2016,Export,Canada,124,2016_Canada,1.53577E+12,Rep. of Korea,410,2016_Rep. of Korea,1.4148E+12,3320659791,124410,2015,1,7,7
203,2017,Export,Canada,124,2017_Canada,1.65304E+12,Rep. of Korea,410,2017_Rep. of Korea,1.53075E+12,4088835151,124410,2015,1,7,7
204,1989,Export,Canada,124,1989_Canada,5.65056E+11,Panama,591,1989_Panama,5918470000,16287799,124591,2013,0,9,8
205,1990,Export,Canada,124,1990_Canada,5.9393E+11,Panama,591,1990_Panama,6433967000,14052488,124591,2013,0,9,8
206,1991,Export,Canada,124,1991_Canada,6.10328E+11,Panama,591,1991_Panama,7074676000,16828225,124591,2013,0,9,8
