,lnGdp_1,lnGdp_2,lnTrade_value,panel_number,reporter,partner,year_in_force,Reporter Latitude ,Reporter Longitude ,Partner Latitude,Partner Longitude
49,0.113842249,1.026392682,17.0695454,49,Georgia,Turkey,2008,42.315407,43.356892,38.963745,35.243322
50,-1.830519269,0.669703026,16.41311966,50,Georgia,Turkmenistan,2000,42.315407,43.356892,38.969719,59.556278
51,1.003735865,0.793737964,15.50593621,51,Georgia,Ukraine,1996,42.315407,43.356892,48.379433,31.16558
52,-0.531357873,1.555013983,16.98716596,52,Australia,Chile,2009,-25.274398,133.775136,-35.675147,-71.542969
53,0.917358435,0.990019821,20.45498416,53,Australia,China,2015,-25.274398,133.775136,35.86166,104.195397
54,0.73876149,0.7463517,21.26942681,54,Australia,Rep. of Korea,2014,-25.274398,133.775136,35.907757,127.766922
55,0.057486135,0.995970066,20.1414569,55,Australia,Malaysia,2013,-25.274398,133.775136,4.210484,101.975766
56,-0.393048925,1.206196855,21.30429163,56,Australia,New Zealand,1989,-25.274398,133.775136,-40.900557,174.885971
57,0.605868217,0.213337442,20.16119087,57,Australia,Papua New Guinea,1977,-25.274398,133.775136,-6.314993,143.95555
58,0.620201443,0.238290538,20.9692969,58,Australia,Singapore,2003,-25.274398,133.775136,1.352083,103.819836
59,0.533784558,0.547984662,19.85290511,59,Australia,Thailand,2005,-25.274398,133.775136,15.870032,100.992541
60,-0.110587447,1.341289493,21.69219262,60,Australia,USA,2005,-25.274398,133.775136,37.09024,-95.712891
61,0.712934798,0.065871659,20.27409114,61,Japan,Chile,2007,36.204824,138.252924,-35.675147,-71.542969
62,0.189561568,0.525429971,22.77812679,62,Japan,Australia,2015,36.204824,138.252924,-25.274398,133.775136
63,1.059044059,0.362333074,21.92192845,63,Japan,Indonesia,2008,36.204824,138.252924,-0.789275,113.921327
64,1.622899195,0.17398251,22.14466989,64,Japan,Malaysia,2006,36.204824,138.252924,4.210484,101.975766
65,0.413082208,0.49407426,21.36866476,65,Japan,Mexico,2005,36.204824,138.252924,23.634501,-102.552784
66,2.915382494,0.697450128,15.80113649,66,Japan,Mongolia,2016,36.204824,138.252924,46.862496,103.846656
67,0.979096857,0.881537169,18.16999995,67,Japan,Peru,2012,36.204824,138.252924,-9.189967,-75.015152
68,1.448533466,0.784831147,21.59388312,68,Japan,Philippines,2008,36.204824,138.252924,12.879721,121.774017
69,0.570753206,0.798232721,21.42083153,69,Japan,India,2011,36.204824,138.252924,20.593684,78.96288
70,1.089176223,0.162203633,22.94851771,70,Japan,Singapore,2002,36.204824,138.252924,1.352083,103.819836
71,0.444030104,1.299353435,18.95287941,71,Japan,Viet Nam,2009,36.204824,138.252924,14.058324,108.277199
72,0.310259876,0.033487816,21.70045941,72,Japan,Switzerland,2009,36.204824,138.252924,46.818188,8.227512
73,0.74612738,0.751808794,22.64826944,73,Japan,Thailand,2007,36.204824,138.252924,15.870032,100.992541
74,0.332356565,0.075014582,18.24636567,74,Japan,Brunei Darussalam,2008,36.204824,138.252924,4.535277,114.727669
75,-0.216277927,1.241517411,21.3557348,75,Rep. of Korea,Canada,2015,35.907757,127.766922,56.130366,-106.346771
76,-0.141657577,1.116862865,19.05116546,76,Rep. of Korea,Chile,2004,35.907757,127.766922,-35.675147,-71.542969
77,1.837327663,0.549244605,20.99194215,77,Rep. of Korea,China,2015,35.907757,127.766922,35.86166,104.195397
78,0.814482137,0.938302021,17.67514301,78,Rep. of Korea,Colombia,2016,35.907757,127.766922,4.570868,-74.297333
79,0.615045247,0.744155041,20.72817875,79,Rep. of Korea,Australia,2014,35.907757,127.766922,-25.274398,133.775136
80,0.264533217,1.385021605,18.85214603,80,Rep. of Korea,New Zealand,2015,35.907757,127.766922,-40.900557,174.885971
81,0.10354782,2.445736045,14.95605207,81,Rep. of Korea,Peru,2011,35.907757,127.766922,-9.189967,-75.015152
82,0.615234382,1.184376763,20.32969347,82,Rep. of Korea,India,2010,35.907757,127.766922,20.593684,78.96288
83,-0.029819596,0.954835223,21.15007094,83,Rep. of Korea,Singapore,2006,35.907757,127.766922,1.352083,103.819836
84,0.437286167,1.124446509,19.10848415,84,Rep. of Korea,Viet Nam,2015,35.907757,127.766922,14.058324,108.277199
85,0.743027096,0.978968091,18.73495883,85,Rep. of Korea,Turkey,2013,35.907757,127.766922,38.963745,35.243322
86,0.012257609,1.054263688,23.75424453,86,Rep. of Korea,USA,2012,35.907757,127.766922,37.09024,-95.712891
87,0.211935456,1.384303061,18.31046544,87,Mexico,Chile,1999,23.634501,-102.552784,-35.675147,-71.542969
88,0.45126266,1.443306221,18.50521989,88,Mexico,Colombia,1995,23.634501,-102.552784,4.570868,-74.297333
89,-1.411526477,0.966176251,19.18675417,89,Mexico,Israel,2000,23.634501,-102.552784,31.046051,34.851612
90,0.030361657,-0.421890084,21.08946347,90,Mexico,Japan,2005,23.634501,-102.552784,36.204824,138.252924
91,0.723460246,0.758711659,18.0631404,91,Mexico,Panama,2015,23.634501,-102.552784,8.537981,-80.782127
92,0.179981328,1.607521525,17.97969966,92,Mexico,Peru,2012,23.634501,-102.552784,-9.189967,-75.015152
93,-0.450104052,0.823239948,17.39603101,93,Mexico,Uruguay,2004,23.634501,-102.552784,-32.522779,-55.765835
94,2.926172773,-2.048401869,15.79348967,94,Panama,Canada,2013,8.537981,-80.782127,56.130366,-106.346771
95,-2.041626279,6.036893325,13.7762176,95,Panama,Chile,2008,8.537981,-80.782127,-35.675147,-71.542969
96,-2.231692555,4.238490323,17.54786915,96,Panama,Costa Rica,2008,8.537981,-80.782127,9.748917,-83.753428
97,1.840600035,0.648674563,16.10860667,97,Panama,El Salvador,2003,8.537981,-80.782127,13.794185,-88.89653
98,-4.572477387,8.071356539,16.51072304,98,Panama,Guatemala,2009,8.537981,-80.782127,15.783471,-90.230759
99,1.230184116,1.169523163,16.32968025,99,Panama,Honduras,2009,8.537981,-80.782127,15.199999,-86.241905
100,0.475407794,3.985486587,13.09454604,100,Panama,Mexico,2015,8.537981,-80.782127,23.634501,-102.552784
101,-6.722200329,13.59702136,15.32577168,101,Panama,Nicaragua,2009,8.537981,-80.782127,12.865416,-85.207229
102,-1.955634028,7.40285913,14.56955903,102,Panama,Peru,2012,8.537981,-80.782127,-9.189967,-75.015152
103,-2.183913033,2.610456408,10.2314955,103,Panama,Singapore,2006,8.537981,-80.782127,1.352083,103.819836
104,2.754835616,-1.598536596,19.36610605,104,Panama,USA,2012,8.537981,-80.782127,37.09024,-95.712891
105,-0.33541219,3.319106532,18.53093686,105,Peru,Canada,2009,-9.189967,-75.015152,56.130366,-106.346771
106,-0.73818167,3.10100729,18.0655526,106,Peru,Chile,2009,-9.189967,-75.015152,-35.675147,-71.542969
107,1.87431955,0.443301049,19.34413539,107,Peru,China,2010,-9.189967,-75.015152,35.86166,104.195397
108,2.086879813,-0.559316723,15.87709562,108,Peru,Costa Rica,2013,-9.189967,-75.015152,9.748917,-83.753428
109,1.568302025,0.551233655,19.49106781,109,Peru,Japan,2012,-9.189967,-75.015152,36.204824,138.252924
110,0.866143779,1.739855739,17.88987232,110,Peru,Rep. of Korea,2011,-9.189967,-75.015152,35.907757,127.766922
111,0.409045172,0.773572742,18.38944317,111,Peru,Mexico,2012,-9.189967,-75.015152,23.634501,-102.552784
112,0.827213624,1.703413893,15.75351338,112,Peru,Panama,2012,-9.189967,-75.015152,8.537981,-80.782127
113,-3.03273017,4.18522873,13.21871483,113,Peru,Singapore,2009,-9.189967,-75.015152,1.352083,103.819836
114,0.518153945,2.012059731,20.37479849,114,Peru,USA,2009,-9.189967,-75.015152,37.09024,-95.712891
115,0.13882001,1.353698148,20.90348663,115,Singapore,China,2009,1.352083,103.819836,35.86166,104.195397
116,1.239922587,-0.110069974,15.86978056,116,Singapore,Costa Rica,2013,1.352083,103.819836,9.748917,-83.753428
117,0.620474453,0.242985374,20.99186754,117,Singapore,Australia,2003,1.352083,103.819836,-25.274398,133.775136
118,0.435900988,0.603716797,22.06359574,118,Singapore,Japan,2002,1.352083,103.819836,36.204824,138.252924
119,-0.59801778,0.588187486,16.72686203,119,Singapore,Jordan,2005,1.352083,103.819836,30.585164,36.238414
120,0.530542738,1.084028191,20.57770972,120,Singapore,Rep. of Korea,2006,1.352083,103.819836,35.907757,127.766922
121,0.432703052,0.77964628,18.88378221,121,Singapore,New Zealand,2001,1.352083,103.819836,-40.900557,174.885971
122,1.251144087,-0.09577684,19.31780823,122,Singapore,Panama,2006,1.352083,103.819836,8.537981,-80.782127
123,-0.938487952,1.993267715,15.97762089,123,Singapore,Peru,2009,1.352083,103.819836,-9.189967,-75.015152
124,0.566478437,0.416860015,20.65667171,124,Singapore,India,2005,1.352083,103.819836,20.593684,78.96288
125,0.335599321,0.574570276,17.66501761,125,Singapore,Turkey,2017,1.352083,103.819836,38.963745,35.243322
126,0.198212785,0.408399352,23.06769024,126,Singapore,USA,2004,1.352083,103.819836,37.09024,-95.712891
127,0.04015814,2.559894076,13.35394166,127,Turkey,Chile,2011,38.963745,35.243322,-35.675147,-71.542969
128,1.879568368,-0.384611544,16.26739217,128,Turkey,Georgia,2008,38.963745,35.243322,42.315407,43.356892
129,0.109057725,1.555430377,17.24251102,129,Turkey,Israel,1997,38.963745,35.243322,31.046051,34.851612
